Video ID,Title,Comment,language,text_en
FVRxaQrj1U4,FIFA 20 Live Reveal – EA PLAY 2019,Why Volta football is not in the switch?????,en,Why Volta football is not in the switch?????
FVRxaQrj1U4,FIFA 20 Live Reveal – EA PLAY 2019,Thes es the best game!!!,en,Thes es the best game!!!
FVRxaQrj1U4,FIFA 20 Live Reveal – EA PLAY 2019,1997 fifa street 2020 fifa 20 volta football,en,1997 fifa street 2020 fifa 20 volta football
FVRxaQrj1U4,FIFA 20 Live Reveal – EA PLAY 2019,Does anyone where in London is that cage?,en,Does anyone where in London is that cage?
FVRxaQrj1U4,FIFA 20 Live Reveal – EA PLAY 2019,"Hey guys,
I have just uploaded a new series on fifa 19 career mode called 'How would CELTIC do in the PREM?' 
im not trying to sponge off this guys subscribers as i know he posts awesome content im just simply trying to reach out to people that may 
enjoy my series and also can give me tips on how to improve. Check it out on my channel IF YOU WISH
Much love
TehMaca",en,"Hey guys,
I have just uploaded a new series on fifa 19 career mode called 'How would CELTIC do in the PREM?' 
im not trying to sponge off this guys subscribers as i know he posts awesome content im just simply trying to reach out to people that may 
enjoy my series and also can give me tips on how to improve. Check it out on my channel IF YOU WISH
Much love
TehMaca"
FVRxaQrj1U4,FIFA 20 Live Reveal – EA PLAY 2019,I love fifa 20 street was the best thing to happen to it,en,I love fifa 20 street was the best thing to happen to it
FVRxaQrj1U4,FIFA 20 Live Reveal – EA PLAY 2019,"Hey guys,
I made my very own Fifa 20 REAL LIFE gameplay trailer, and i put a lot of hard work and effort into it. I would really appreciate it if you would check it out and give me chance, it would mean the world to me! :)",en,"Hey guys,
I made my very own Fifa 20 REAL LIFE gameplay trailer, and i put a lot of hard work and effort into it. I would really appreciate it if you would check it out and give me chance, it would mean the world to me! :)"
FVRxaQrj1U4,FIFA 20 Live Reveal – EA PLAY 2019,Arabic subtitles! Obviously EA don’t Care about Arabs!  No go to servers no support! Do you really want us to stop playing FIFA!,en,Arabic subtitles! Obviously EA don’t Care about Arabs!  No go to servers no support! Do you really want us to stop playing FIFA!
FVRxaQrj1U4,FIFA 20 Live Reveal – EA PLAY 2019,pleas,en,pleas
FVRxaQrj1U4,FIFA 20 Live Reveal – EA PLAY 2019,When is FIFA 20 mobile coming out,en,When is FIFA 20 mobile coming out
